Date,Price,Change %,vol 5D,vol 5D standardize,vol 20D,vol 20D standardize,vol2 5D,vol2 5D standardize,vol2 20D,vol2 20D standardize,vol2 5D sta - vol2 20D sta,Price_United States 10-Year Bond Yield,Change %_United States 10-Year Bond Yield,Price_Euro Stoxx 50,Change %_Euro Stoxx 50,a1_Euro Stoxx 50,動能差input_Euro Stoxx 50,Price_S&P Midcap 400,Change %_S&P Midcap 400,local risk covarience_S&P Midcap 400,向量寬度_S&P Midcap 400,Price_US Dollar Index Futures,Change %_US Dollar Index Futures,Price_USD_JPY,Change %_USD_JPY,label1,label2,label3
"Aug 16, 2011",1192.76,-0.0097,0.539423859316586,-1.2565486473698415,0.4395603267381,1.5658802845943425,2.0576338979598,-0.4630446670648427,1.932801694834982,2.0258098241453784,-2.488854491210221,2.225,-0.036000000000000004,2323.67,-0.0003,0.513308688411005,11.310277352354206,853.5,-0.014199999999999999,-6.6678829818396075,0.09468393834212242,74.09,0.0022,76.74,-0.001,0.0630283205579692,-0.16472460550726076,-0.3275968729832345
"Aug 17, 2011",1193.89,0.0009,0.3466397899837812,-1.3799518217169073,0.4398016500292161,1.394233546883062,3.213061681864258,1.0774499965094966,2.0089549518066696,1.8277442743043726,-0.750294277794876,2.167,-0.026099999999999998,2331.12,0.0032,0.512152956518755,2.6941497286618414,848.85,-0.0054,1.2244159210054248,-0.0066118459734292945,73.76,-0.0045000000000000005,76.62,-0.0016,-0.3101623695366607,0.053101790134812865,-0.22620578642103029
"Aug 18, 2011",1140.65,-0.0446,0.39279800915992424,-0.7790944396985862,0.45569960708205226,1.355781007587184,3.0027236323607105,0.859465023068592,2.075388608734787,1.6681238748658342,-0.8086588517972423,2.068,-0.045700000000000005,2206.61,-0.053399999999999996,0.5169241506201822,-10.52816461614998,802.12,-0.055099999999999996,-7.871201089839243,0.43370318005014225,74.31,0.0075,76.64,0.0002,-0.564736886698521,-0.005055296502366302,-0.15242397751056275
"Aug 19, 2011",1123.53,-0.015,0.3847716777518843,-0.6161581443752407,0.4551844840570862,1.2159931572906628,1.7398290391240299,-0.7227120467700032,2.1099025652810517,1.5109028108821474,-2.2336148576521504,2.067,-0.0005,2159.07,-0.0215,0.5203768289124484,-7.45457412048313,787.86,-0.0178,6.706829893635825,-0.11938157210671768,74.11,-0.0027,76.55,-0.0012,-0.31722420003544655,-0.015140630412974365,-0.08267090229917745
"Aug 22, 2011",1123.82,0.0003,0.29502976798960456,-1.0606996313218289,0.4561740633850889,1.106862175487481,1.447261932549499,-1.0846257034810733,2.110276863103571,1.35007096497253,-2.4346966684536033,2.109,0.0203,2183.39,0.0113,0.5147133585845863,12.365564479150635,788.58,0.0009,1.1286616449821198,0.0010157954804839078,74.17,0.0008,76.93,0.005,-0.02033930505562745,0.07685842263686682,-0.019844430213884656
"Aug 23, 2011",1162.35,0.034300000000000004,0.4542570241614321,1.3499394842761847,0.4805379745112434,1.168982478173417,0.9355533829458601,-1.1377898684189993,2.1022410898106583,1.207689489454985,-2.3454793578739843,2.158,0.0232,2199.98,0.0076,0.5283457122337475,-29.990905381081575,821.24,0.0414,-14.006308694633121,-0.5798611799578112,73.96,-0.0028000000000000004,76.66,-0.0034999999999999996,0.3996649873047392,-0.12115011027061195,-0.041592339918505083
"Aug 24, 2011",1177.6,0.0131,0.47185142153012527,1.035206548047283,0.4822955159825168,1.0736407438132867,1.1057776314210737,-0.6595810185636751,2.077109560856147,1.0676442766764904,-1.7272252952401654,2.294,0.063,2238.7,0.0176,0.5260195649260732,5.207545977690415,832.77,0.013999999999999999,7.890789866256677,0.11047105812759346,74.09,0.0018,77.02,0.0048,0.5268559179435707,-0.1815150710158523,-0.10940522960432109
"Aug 25, 2011",1159.27,-0.015600000000000001,0.33280367185474374,-0.722612501538721,0.483798692041486,0.9898059280806987,1.2069127416685406,-0.2555520581737565,2.016103710711504,0.9039321168102147,-1.1594841749839713,2.234,-0.0262,2216.7,-0.0098,0.5229710831416069,6.757569571626391,814.27,-0.0222,-6.257183780609764,0.13890947992953676,74.36,0.0036,77.4,0.005,0.5703077924217541,-0.061397336212340003,-0.1163363770151542
"Aug 26, 2011",1176.8,0.0151,0.2942133511586446,-0.8676729422989713,0.48913127427479447,0.947292199010362,1.3798042475616648,0.796331849055165,1.915870963555051,0.7047470819811114,0.09158476707405361,2.19,-0.0197,2190.44,-0.0118,0.537243658808276,-31.26322064329861,835.92,0.026600000000000002,-3.9044979892617766,-0.10385964651436326,73.87,-0.0066,76.67,-0.0095,-0.0170552022553892,-0.017927584087713833,-0.09334528026797917
"Aug 29, 2011",1210.08,0.028300000000000002,0.30631548442741174,-0.7749639768001209,0.5025686187241657,0.991082562251759,1.3432036475751825,0.8214271730852978,1.7592442765328844,0.43309483862987797,0.3883323344554198,2.264,0.0338,2239.3,0.0223,0.5403831554503639,-7.030274830627377,868.7,0.0392,-30.93394216133833,-1.2126105327244625,73.78,-0.0012,76.95,0.0037,-0.5510443541179224,-0.05286443722705414,-0.11843714342611378
